date,close_price,high_price,low_price,open_price,volume
26/10/2017,11.6527,11.7192,11.4533,11.5863,49003126
27/10/2017,11.4533,11.6243,11.4059,11.6148,33925366
30/10/2017,11.4913,11.5388,11.3488,11.4058,36457435
31/10/2017,11.6527,11.6812,11.5188,11.5388,42010246
01/11/2017,11.7287,11.8427,11.6577,11.7762,43495830
02/11/2017,11.7952,11.8047,11.6432,11.7097,40923421
03/11/2017,11.7382,11.8332,11.7002,11.7857,33220261
06/11/2017,11.7097,11.8047,11.6812,11.7382,20178513
07/11/2017,11.5483,11.7572,11.5008,11.7287,41536291
08/11/2017,11.4533,11.5483,11.4058,11.5293,34127543
09/11/2017,11.4343,11.4438,11.3298,11.4058,26257259
10/11/2017,11.4058,11.4818,11.3773,11.3963,35298374
13/11/2017,11.5483,11.6053,11.3678,11.4058,30415855
14/11/2017,11.4153,11.5483,11.3868,11.4913,25893421
15/11/2017,11.3963,11.4248,11.2729,11.3678,28441307
16/11/2017,11.4343,11.4438,11.3298,11.3963,28269046
17/11/2017,11.4058,11.4533,11.3821,11.4153,31117727
20/11/2017,11.5198,11.5388,11.4153,11.4248,32352040
21/11/2017,11.5103,11.61,11.5103,11.5293,28510260
22/11/2017,11.4628,11.5388,11.4438,11.5008,36184010
24/11/2017,11.4913,11.5388,11.4248,11.4913,9549629
27/11/2017,11.5008,11.5768,11.4533,11.4818,28525156
28/11/2017,11.5958,11.6243,11.4723,11.5388,33199323
29/11/2017,11.9282,11.9377,11.6148,11.6243,64865974
30/11/2017,11.8902,12.0136,11.7952,11.8997,49224189
01/12/2017,11.9471,12.0611,11.7287,11.9851,52458736
04/12/2017,11.9946,12.1656,11.9566,12.0136,39558857
05/12/2017,11.8047,11.9851,11.7762,11.7952,45527163
06/12/2017,11.7572,11.8047,11.6622,11.7477,28453762
07/12/2017,11.8997,11.9566,11.7097,11.9424,25417119
08/12/2017,11.9756,11.9756,11.8047,11.8997,21981870
11/12/2017,11.9471,11.9946,11.8807,11.9377,44194633
12/12/2017,11.9661,11.9994,11.8807,11.9661,54370612
13/12/2017,11.9946,12.0849,11.9566,11.9756,31858995
14/12/2017,11.8332,12.0516,11.7857,12.0136,37073960
15/12/2017,11.9471,12.0231,11.8712,11.8807,48655453
18/12/2017,12.0231,12.1086,11.9756,12.0231,25022657
